Membership No  Date Joined  Active  
    70768      2018-2-2     no    
    36728      2020-12-17   no    
    54080      2016-11-13   no    
    87871      2015-6-24    no    
    12370      2017-7-24    no    
    23642      2016-12-15   no    
    54753      2016-9-23    no    
    34759      2015-11-7    no    
    56939      2018-9-2     no    
    15020      2019-6-16    no    
    70243      2020-1-5     no    
    53196      2020-11-12   no    
    23961      2020-4-21    no    
    14078      2019-4-19    no    
