Membership No  Date Joined  Active  
    13019      2019-1-16    no    
    92873      2019-12-12   no    
    88232      2017-2-9     no    
    83029      2020-2-7     no    
    17361      2016-9-22    no    
    38571      2019-10-17   no    
    20227      2015-6-2     no    
    57028      2020-4-15    no    
    88162      2017-5-14    no    
    35583      2020-7-10    no    
    77584      2017-8-19    no    
    20554      2020-2-5     no    
    66646      2020-10-11   no    
    26956      2016-1-22    no    
    45933      2017-9-5     no    
    52103      2018-11-9    no    
    46679      2015-8-13    no    
